id,date,county,state,fips,cases,deaths,stay_at_home_announced,stay_at_home_effective,total_population,population_density_per_sqmi,percent_single_parent_households_CHR,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,percent_unemployed_CDC,percent_no_highschool_diploma,percent_age_65_and_older,percent_age_17_and_younger,percent_disabled,percent_multi_unit_housing,percent_fair_or_poor_health,percent_not_proficient_in_english,percent_female,percent_rural,percent_minorities,state,Winning_party
0,1/21/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
1,1/22/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
2,1/23/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
3,1/24/2020,Cook,Illinois,17031,1,0,no,no,5227575,5531.878539,37.2,9.5,12,33.4,9.7,14.2,13,22.7,10.3,23,17.1,7,51.4,0,57.1,Illinois,Democrat Win
4,1/24/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
5,1/25/2020,Orange,California,6059,1,0,no,no,3132211,3961.705072,25.3,8.5,9.2,30.8,6.8,15.5,13.2,23,8.5,18.7,13.9,10.2,50.6,0.1,58,California,Democrat Win
6,1/25/2020,Cook,Illinois,17031,1,0,no,no,5227575,5531.878539,37.2,9.5,12,33.4,9.7,14.2,13,22.7,10.3,23,17.1,7,51.4,0,57.1,Illinois,Democrat Win
7,1/25/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
8,1/26/2020,Maricopa,Arizona,4013,1,0,no,no,4088549,444.4467438,34.1,8.9,13.7,34.3,6.8,13.1,13.8,25,10.8,14.6,15.6,5.2,50.5,2.4,43.1,Arizona,Democrat Win
9,1/26/2020,Los Angeles,California,6037,1,0,no,no,10057155,2478.240645,34.9,8.4,11.2,35.1,8.9,22.3,12.2,22.8,9.9,26.5,16.4,13.7,50.7,0.6,73.3,California,Democrat Win
10,1/26/2020,Orange,California,6059,1,0,no,no,3132211,3961.705072,25.3,8.5,9.2,30.8,6.8,15.5,13.2,23,8.5,18.7,13.9,10.2,50.6,0.1,58,California,Democrat Win
11,1/26/2020,Cook,Illinois,17031,1,0,no,no,5227575,5531.878539,37.2,9.5,12,33.4,9.7,14.2,13,22.7,10.3,23,17.1,7,51.4,0,57.1,Illinois,Democrat Win
12,1/26/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
13,1/27/2020,Maricopa,Arizona,4013,1,0,no,no,4088549,444.4467438,34.1,8.9,13.7,34.3,6.8,13.1,13.8,25,10.8,14.6,15.6,5.2,50.5,2.4,43.1,Arizona,Democrat Win
14,1/27/2020,Los Angeles,California,6037,1,0,no,no,10057155,2478.240645,34.9,8.4,11.2,35.1,8.9,22.3,12.2,22.8,9.9,26.5,16.4,13.7,50.7,0.6,73.3,California,Democrat Win
15,1/27/2020,Orange,California,6059,1,0,no,no,3132211,3961.705072,25.3,8.5,9.2,30.8,6.8,15.5,13.2,23,8.5,18.7,13.9,10.2,50.6,0.1,58,California,Democrat Win
16,1/27/2020,Cook,Illinois,17031,1,0,no,no,5227575,5531.878539,37.2,9.5,12,33.4,9.7,14.2,13,22.7,10.3,23,17.1,7,51.4,0,57.1,Illinois,Democrat Win
17,1/27/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
18,1/28/2020,Maricopa,Arizona,4013,1,0,no,no,4088549,444.4467438,34.1,8.9,13.7,34.3,6.8,13.1,13.8,25,10.8,14.6,15.6,5.2,50.5,2.4,43.1,Arizona,Democrat Win
19,1/28/2020,Los Angeles,California,6037,1,0,no,no,10057155,2478.240645,34.9,8.4,11.2,35.1,8.9,22.3,12.2,22.8,9.9,26.5,16.4,13.7,50.7,0.6,73.3,California,Democrat Win
20,1/28/2020,Orange,California,6059,1,0,no,no,3132211,3961.705072,25.3,8.5,9.2,30.8,6.8,15.5,13.2,23,8.5,18.7,13.9,10.2,50.6,0.1,58,California,Democrat Win
21,1/28/2020,Cook,Illinois,17031,1,0,no,no,5227575,5531.878539,37.2,9.5,12,33.4,9.7,14.2,13,22.7,10.3,23,17.1,7,51.4,0,57.1,Illinois,Democrat Win
22,1/28/2020,Snohomish,Washington,53061,1,0,no,no,758649,363.5861593,25.4,8.2,10.3,34.8,6.2,8.2,12.1,23.2,11.9,14.6,14.4,3.5,49.8,10.8,28,Washington,Democrat Win
23,1/29/2020,Maricopa,Arizona,4013,1,0,no,no,4088549,444.4467438,34.1,8.9,13.7,34.3,6.8,13.1,13.8,25,10.8,14.6,15.6,5.2,50.5,2.4,43.1,Arizona,Democrat Win
